Image,PSNR,Entropy,Enc_Time,Dec_Time,Security
image(2).jpg,100,7.876059600067452,0.0,0.0,Normal
image(20).jpg,100,7.979604754869547,0.0,0.0020074844360351562,Normal
image(21).jpg,100,7.903362143973953,0.0,0.0,Normal
image(22).jpg,100,7.9146097358729754,0.0,0.0,Normal
image(23).jpg,100,7.9561567422942305,0.0,0.0,Normal
image(24).jpg,100,7.934492974386778,0.0,0.0,Normal
image(25).jpg,100,7.959320963251288,0.0,0.0,Attack
image(26).jpg,100,7.699380599821811,0.0,0.0,Attack
image(27).jpg,100,7.862633564666548,0.0,0.0,Attack
image(28).jpg,100,7.940935138365223,0.0,0.0,Attack
image(29).jpg,100,7.9197030119582585,0.0,0.0017461776733398438,Attack
image(3).jpg,100,7.781546555729085,0.0,0.0,Attack
image(30).jpg,100,7.964574545240897,0.0,0.0,Normal
image(31).jpg,100,7.851232562005671,0.0,0.0,Normal
image(32).jpg,100,7.883567786438993,0.0,0.0,Attack
image(33).jpg,100,7.847017396041815,0.0,0.0010027885437011719,Normal
image(34).jpg,100,7.959088479615657,0.0,0.0,Normal
image(35).jpg,100,7.951615148888038,0.0,0.0,Attack
image(36).jpg,100,7.923802223822958,0.0,0.0,Attack
image(37).jpg,100,7.928810336613689,0.001001119613647461,0.0,Normal
image(38).jpg,100,7.955400661767216,0.0,0.0,Normal
image(39).jpg,100,7.966929039723458,0.0,0.0,Normal
image(4).jpg,100,7.84749135282522,0.0,0.0,Attack
image(40).jpg,100,7.92119123212959,0.0,0.0,Normal
image(41).jpg,100,7.971339632434666,0.0,0.0,Normal
image(42).jpg,100,7.959623780037582,0.0,0.0,Attack
image(43).jpg,100,7.876836319195646,0.002004861831665039,0.0,Attack
image(44).jpg,100,7.770943215036072,0.0,0.0,Normal
image(45).jpg,100,7.638996834858295,0.0010027885437011719,0.0,Attack
image(46).jpg,100,7.835561443806744,0.0,0.0010066032409667969,Normal
image(47).jpg,100,7.499122489846263,0.0010004043579101562,0.0,Attack
image(48).jpg,100,7.863334394925632,0.0,0.0,Attack
image(49).jpg,100,7.680218829377048,0.0,0.0,Attack
image(5).jpg,100,7.753953722851127,0.0,0.0,Attack
image(50).jpg,100,7.814009157801298,0.0,0.0,Attack
image(51).jpg,100,7.910063135504863,0.0,0.0,Attack
image(52).jpg,100,7.939458541765074,0.0,0.0,Attack
image(53).jpg,100,7.593584404875358,0.0,0.0,Attack
image(54).jpg,100,7.715527237803773,0.0,0.0,Attack
image(55).jpg,100,7.809756275809207,0.0,0.0,Attack
image(56).jpg,100,7.888730875655428,0.0,0.0,Attack
image(57).jpg,100,7.928564569125342,0.0,0.0,Attack
image(58).jpg,100,7.940971367752122,0.0,0.0,Attack
image(59).jpg,100,7.8392181325157795,0.0,0.0,Normal
image(6).jpg,100,7.829608043685732,0.0,0.0,Attack
image(60).jpg,100,7.806421397914036,0.0,0.0,Attack
image(61).jpg,100,7.825518880291728,0.0,0.0,Normal
image(62).jpg,100,7.620121272398675,0.0,0.0,Attack
image(63).jpg,100,7.836538239142406,0.0,0.0,Attack
image(64).jpg,100,7.9234368273974365,0.0,0.0,Normal
image(65).jpg,100,7.93163326053594,0.0,0.0,Normal
image(66).jpg,100,7.324457847158562,0.0,0.0,Attack
image(67).jpg,100,7.693510248709156,0.0,0.0,Attack
image(68).jpg,100,7.78722874418577,0.0009546279907226562,0.0,Attack
image(69).jpg,100,7.899501784490483,0.0,0.0,Normal
image(7).jpg,100,7.7196186503918325,0.0,0.0,Attack
image(70).jpg,100,7.783915452819411,0.0,0.0,Normal
image(71).jpg,100,7.801564849841521,0.0,0.0,Normal
image(72).jpg,100,7.699312976577546,0.0,0.0,Normal
image(73).jpg,100,7.781559769641316,0.0,0.0,Normal
image(74).jpg,100,7.781636671777817,0.0,0.0,Normal
image(75).jpg,100,7.749663528922996,0.0,0.0,Normal
image(76).jpg,100,7.825403510174882,0.0005528926849365234,0.0,Attack
image(77).jpg,100,7.959272389201216,0.0,0.0,Normal
image(78).jpg,100,7.933559249799548,0.0,0.0,Attack
image(79).jpg,100,7.938448587394417,0.0,0.0,Attack
image(8).jpg,100,7.973224500201908,0.0,0.0,Attack
image(80).jpg,100,7.960344472220991,0.0,0.0,Normal
image(81).jpg,100,7.921066461668019,0.0,0.0,Normal
image(82).jpg,100,7.954254103300561,0.0,0.0,Normal
image(83).jpg,100,7.956149207523284,0.0,0.0,Normal
image(84).jpg,100,7.959096884953805,0.0,0.0,Normal
image(85).jpg,100,7.869755957912323,0.0,0.0,Attack
image(86).jpg,100,7.9415787036396575,0.0,0.0,Normal
image(87).jpg,100,7.956994414047262,0.0020029544830322266,0.0,Attack
image(88).jpg,100,7.791223599351996,0.0,0.0,Attack
image(89).jpg,100,7.872839419323663,0.0,0.0,Normal
image(9).jpg,100,7.96632060735821,0.0,0.0,Attack
image(90).jpg,100,7.98116509026592,0.0,0.0,Attack
image(91).jpg,100,7.744403703623611,0.0,0.0,Attack
image(92).jpg,100,7.949974946960153,0.0,0.0,Attack
image(93).jpg,100,7.953057551286346,0.0,0.0,Attack
image(94).jpg,100,7.959101053367477,0.0,0.0,Attack
image(95).jpg,100,7.941485573502106,0.0,0.0,Normal
image(96).jpg,100,7.829764580304449,0.015773773193359375,0.0,Attack
image(97).jpg,100,7.788323847465298,0.0,0.0,Attack
image(98).jpg,100,7.941194391270143,0.0,0.0,Attack
image(99).jpg,100,7.970823453662401,0.0,0.0,Attack
image.jpg,100,7.940024739841958,0.0,0.0,Normal
N1.JPG,100,7.934978109211636,0.0,0.0,Attack
N11.jpg,100,7.908171243877585,0.0,0.0,Attack
N15.jpg,100,7.7738869186374835,0.0,0.002003192901611328,Normal
N16.jpg,100,7.896783268445221,0.0,0.0,Attack
N17.jpg,100,7.877383509585602,0.0,0.0,Normal
N19.JPG,100,7.961198695488757,0.0,0.0,Attack
N2.JPG,100,7.964709135787629,0.0,0.0,Normal
N20.JPG,100,7.961422092649736,0.0,0.0,Normal
N21.jpg,100,7.92445515714404,0.0,0.0,Attack
